"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Footer Blog page","","0","0","1","0","0"
"","LogIn page","","0","0","5","0","0"
"","Footer DeveloperDocs page","","1","0","1","0","0"
"","Footer Data & Privacy page","","1","0","1","0","0"
"","SignUp page","","0","0","4","0","0"
"","Footer AboutUs page","","0","0","1","0","0"
"","Home page Telnyx.","","0","0","1","0","0"
"","AboutUs page","","0","0","1","0","0"
"","Blog page","","0","0","1","0","0"
"","Footer Support Center page","","0","0","1","0","0"
